[0.000000] (-) TimerEvent: {}
[0.000246] (articubot_one) JobQueued: {'identifier': 'articubot_one', 'dependencies': OrderedDict()}
[0.217628] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/config\n'}
[0.218138] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/config/map.rviz\n'}
[0.218727] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/config/view_bot.rviz\n'}
[0.218951] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/config/main.rviz\n'}
[0.219566] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/config/joystick.yaml\n'}
[0.219652] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/config/ball_tracker_params_robot.yaml\n'}
[0.220162] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/config/twist_mux.yaml\n'}
[0.220231] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/config/empty.yaml\n'}
[0.220312] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/config/gaz_ros2_ctl_use_sim.yaml\n'}
[0.220798] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/config/drive_bot.rviz\n'}
[0.220858] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/config/gazebo_params.yaml\n'}
[0.221204] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/config/ball_tracker_params_sim.yaml\n'}
[0.222937] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/config/ekf.yaml\n'}
[0.223006] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/config/nav2_params.yaml\n'}
[0.223061] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/config/mapper_params_online_async.yaml\n'}
[0.223119] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/config/my_controllers.yaml\n'}
[0.223159] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/description\n'}
[0.223211] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/description/face.xacro\n'}
[0.223298] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/description/robot.urdf.xacro\n'}
[0.223339] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/description/lidar.xacro\n'}
[0.223813] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/description/ros2_control.xacro\n'}
[0.223855] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/description/gazebo_control.xacro\n'}
[0.223894] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/description/robot_core.xacro\n'}
[0.223933] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/description/inertial_macros.xacro\n'}
[0.223972] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/description/camera.xacro\n'}
[0.224011] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/description/depth_camera.xacro\n'}
[0.224050] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/launch\n'}
[0.224090] (articubot_one) StdoutLine: {'line': b'-- Installing: /code/install/articubot_one/share/articubot_one/launch/navigation_launch.py\n'}
[0.225261] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/launch/joystick.launch.py\n'}
[0.225346] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/launch/camera.launch.py\n'}
[0.225938] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/launch/launch_sim.launch.py\n'}
[0.227772] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/launch/launch_robot.launch.py\n'}
[0.228898] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/launch/rplidar.launch.py\n'}
[0.229078] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/launch/rsp.launch.py\n'}
[0.229135] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/launch/online_async_launch.py\n'}
[0.230390] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/launch/localization_launch.py\n'}
[0.230964] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/launch/ball_tracker.launch.py\n'}
[0.231351] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds\n'}
[0.231590] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds/install\n'}
[0.231642] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds/install/setup.ps1\n'}
[0.231757] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds/install/_local_setup_util_sh.py\n'}
[0.231806] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds/install/local_setup.sh\n'}
[0.231846] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds/install/local_setup.bash\n'}
[0.231891] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds/install/_local_setup_util_ps1.py\n'}
[0.231929] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds/install/.colcon_install_layout\n'}
[0.231985] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds/install/local_setup.zsh\n'}
[0.232037] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds/install/setup.zsh\n'}
[0.232075] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds/install/local_setup.ps1\n'}
[0.232114] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds/install/setup.sh\n'}
[0.232152] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds/install/setup.bash\n'}
[0.232191] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds/install/COLCON_IGNORE\n'}
[0.233718] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds/log\n'}
[0.233796] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds/log/build_2025-12-29_09-49-25\n'}
[0.233838] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds/log/build_2025-12-29_09-49-25/events.log\n'}
[0.233880] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds/log/build_2025-12-29_09-49-25/logger_all.log\n'}
[0.233926] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds/log/latest\n'}
[0.233966] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds/log/COLCON_IGNORE\n'}
[0.234037] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds/log/latest_build\n'}
[0.234078] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds/build\n'}
[0.234197] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds/build/.built_by\n'}
[0.234255] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds/build/COLCON_IGNORE\n'}
[0.235371] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/worlds/slam_test.sdf\n'}
[0.237704] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/ament_index/resource_index/package_run_dependencies/articubot_one\n'}
[0.237783] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/ament_index/resource_index/parent_prefix_path/articubot_one\n'}
[0.237884] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/environment/ament_prefix_path.sh\n'}
[0.238060] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/environment/ament_prefix_path.dsv\n'}
[0.238106] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/environment/path.sh\n'}
[0.238147] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/environment/path.dsv\n'}
[0.238185] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/local_setup.bash\n'}
[0.238224] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/local_setup.sh\n'}
[0.238316] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/local_setup.zsh\n'}
[0.238364] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/local_setup.dsv\n'}
[0.238408] (articubot_one) StdoutLine: {'line': b'-- Installing: /code/install/articubot_one/share/articubot_one/package.dsv\n'}
[0.238448] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/ament_index/resource_index/packages/articubot_one\n'}
[0.238487] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/cmake/articubot_oneConfig.cmake\n'}
[0.238931] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/cmake/articubot_oneConfig-version.cmake\n'}
[0.239087] (articubot_one) StdoutLine: {'line': b'-- Up-to-date: /code/install/articubot_one/share/articubot_one/package.xml\n'}
[0.242311] (articubot_one) CommandEnded: {'returncode': 0}
[0.273556] (articubot_one) JobEnded: {'identifier': 'articubot_one', 'rc': 0}
[0.274499] (-) EventReactorShutdown: {}
